Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Seng Han Thong,asked,1,1,012-002-093-003-001-001,1
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Er Dr Lee Bee Wah,asked,1,2,012-002-093-003-001-002,2
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Ms Lee Li Lian,asked,1,3,012-002-093-003-001-003,3
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,The Minister for National Development (Mr Khaw Boon Wan), ,1,4,012-002-093-003-001-004,4
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mdm Speaker, ,1,5,012-002-093-003-001-005,5
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan," Places of Worship, or PWs, serve the spiritual needs of our people and are essential community facilities. That is why the Master Plan has reserved and zoned specific land sites for PWs to be built. We tender out such sites to meet new demand and invite religious organisations to bid in such tenders. We have also opened such tenders to participation by companies. This is because some religious organisations form companies to enable and facilitate their ownership and development of such PW sites. This has been the practice since 1991 – that is some 24 years ago -- when State Lands were put up for tenders for PW use. The assumption is that only companies affiliated to religious organisations would participate in such tenders.",1,6,012-002-093-003-001-006,6
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"For each tender, the highest bid among eligible bidders will win, as this is a fair way to allocate the site. Since 1991, seven sites have been won by companies, all affiliated to religious organisations.",2,7,012-002-093-003-001-007,7
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"Until the recent case of the Chinese temple site in Sengkang, the Government has never awarded a PW site to a company that is not affiliated to a religious organisation. We now understand that the winning tenderer for this site, Eternal Pure Land Pte Ltd (EPL), is actually a private company without any religious affiliation. From what we know, the plan of the company is to run a commercial columbarium on the site. This is not in line with our plan for the PW site at Sengkang.",3,8,012-002-093-003-001-008,8
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"The Master Plan sets aside and provides sites for private columbaria. We have occasionally tendered such sites as ""columbarium"", but not as ""place of worship"". The tender documents are differently worded.",4,9,012-002-093-003-001-009,9
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"The Sengkang site is not intended for a commercial columbarium. HDB awarded the site to EPL, under the impression that the company is a vehicle for a religious organisation to build and own a Chinese temple.",5,10,012-002-093-003-001-010,10
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,We will ensure that the land is restored to the original plan of a Chinese temple. We are in discussion with EPL on how this can be achieved.,6,11,012-002-093-003-001-011,11
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"The intent of a Chinese temple was clearly stated in the Master Plan and the HDB's marketing brochures for their BTO flats there. Many temples provide an incidental columbarium service for their members and devotees. Whether the eventual temple in Sengkang will also provide such a service is a decision for the temple trustees to make. But to minimise disamenity to residents, there are clear URA planning guidelines for such ancillary facilities.",7,12,012-002-093-003-001-012,12
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"Late last year, we launched a review to improve our land tender process for places of worship, for example by tightening eligibility requirements for tenderers. We have been engaging religious groups on the review. The Sengkang temple case has highlighted the necessity for such a review. I will provide more information when the review is completed.",8,13,012-002-093-003-001-013,13
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Seng Han Thong (Ang Mo Kio), ,1,14,012-002-093-003-001-014,14
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Seng Han Thong (Ang Mo Kio),"(In Mandarin)  [Please refer to  Vernacular Speech.]  I would like to ask the Minister  in the past development of Singapore, what experiences have we learned in the building of temples, churches, mosques in residential areas? Many of our residents believe that if they live near to a temple or places of worship, they will be blessed. Guangming Shan has opened up to become a tourist site. In the case of Fo Guang Shan, they were able to be developed to provide both temple and columbarium services without any problems. Why is the development a problem?",2,15,012-002-093-003-001-015,15
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"  Mdm Speaker, I thank the Member for the questions. One take-away for me from this episode is that times have changed and some of our tender procedures have not caught up with time. For example, for over 20 years, we would never have thought that a for-profit company would participate in a non-profit making venture like building and owning a Chinese temple. In this instance, the motivations of the successful bidder are very different. But having reached such a situation, I will find a way to try and unwind this.",1,16,012-002-093-003-001-016,16
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"The key point is, for that Sengkang site, we want a Chinese temple; and we will deliver that. For that Sengkang site, we do not want a commercial columbarium; and we would not have one. Members can be re-assured about this point.",2,17,012-002-093-003-001-017,17
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"As for reservation of PW sites, they are clearly marked in our Master Plan. Every five years, we review the Master Plan and when adjustments are needed, we publish those proposals and seek public consultation before we confirm them. So, there is full transparency. Likewise, HDB's BTO brochures are very clear. In this instance, for example, that the site would be reserved for a Chinese temple was clearly marked. There was no ambiguity about that. But I can understand some of the residents' unhappiness because of the possibility that there will be a commercial columbarium cropping up in their neighbourhood. I think those concerns are legitimate and reasonable.",3,18,012-002-093-003-001-018,18
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"We make a strong distinction between a commercial columbarium and an incidental columbarium service which is provided by temple or church. I remember that in Er Dr Lee Bee Wah's constituency, there is a church which has an incidental columbarium service. As Mr Seng Han Thong pointed out, temples like Guangmin Shan (or Kong Meng San Phor Kark See Monastery) and Fo Guang Shan also provide a columbarium service. I visit Fo Guang Shan occasionally, and I am impressed with their careful planning of the columbarium. Most temples hide them in the basement, so, it is dark and gloomy. But in this instance, they put it on Level 3 or 4. With sunlight coming in, it is bright and when you walk in, you do not feel uneasy about the columbarium.",4,19,012-002-093-003-001-019,19
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan,"In other words, there are ways to provide a good columbarium service without causing any kind of disamenity. I hope that answers the Member's queries.",5,20,012-002-093-003-001-020,20
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Seng Han Thong, ,1,21,012-002-093-003-001-021,21
2015-01-29,Non-religious Entities Bidding for Developments Zoned for Places of Worship,012-002-093-003-001,Mr Khaw Boon Wan, ,1,22,012-002-093-003-001-022,22
