Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,Mr Zainal Sapari,asked,1,1,012-001-091-005-001-001,1
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,The Senior Minister of State for Home Affairs (Mr Masagos Zulkifli B M M) (for the Deputy Prime Minister and Minister for Home Affairs),"  Mdm Speaker, in 2012 and 2013, the Traffic Police issued a total of 614,000 notices of traffic offences to motorists for violations committed within this period. About 0.15%, or 900, of such notices were issued more than a year from the date when the offence was committed. The majority involve complex cases where protracted investigations were required to determine the appropriate action to take against the parties involved.",1,2,012-001-091-005-001-002,2
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,The Senior Minister of State for Home Affairs (Mr Masagos Zulkifli B M M) (for the Deputy Prime Minister and Minister for Home Affairs),"Delays in the receipt of traffic notices may also arise where they were not successfully delivered to the offender in the first instance. This could be because the registered vehicle owner or the offender did not report a change in his address thereby necessitating further checks, or the registered owner did not furnish the Traffic Police with the particulars of the offender in a timely manner.",2,3,012-001-091-005-001-003,3
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,Mr Zainal Sapari (Pasir Ris-Punggol), ,1,4,012-001-091-005-001-004,4
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,Mr Masagos Zulkifli B M M, ,1,5,012-001-091-005-001-005,5
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,Mr Vikram Nair (Sembawang), ,1,6,012-001-091-005-001-006,6
2014-02-21,Delay in Issuance of Notices of Traffic Offences,012-001-091-005-001,Mr Masagos Zulkifli B M M, ,1,7,012-001-091-005-001-007,7
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,Ms Faizah Jamal,asked,1,1,012-001-091-005-002-001,8
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,The Minister of State for National Development (Dr Mohamad Maliki Bin Osman) (for the Minister of National Development),"  Mdm Speaker, all contractors engaged by the Agri-Food and Veterinary Authority (AVA) must comply with AVA's guidelines on the capture, handling and transportation of the monkeys. They can only carry out control operations at designated areas, and use methods and equipment approved by AVA. During these operations, they must be on-site to monitor the trap and to remove the trapped monkeys as soon as possible. AVA also conducts random checks on its contractors to ensure their compliance to the guidelines.",1,2,012-001-091-005-002-002,9
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,The Minister of State for National Development (Dr Mohamad Maliki Bin Osman) (for the Minister of National Development),"AVA is investigating the case involving its contractor who used rubbish bins as monkey traps, as reported in the media. AVA allows the use of rubbish bins as traps as they do not cause any harm to the monkeys during the capture. The bins are no different from other equipment such as cages, and could be more effective in capturing monkeys which have grown wary of cages.",2,3,012-001-091-005-002-003,10
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,Ms Faizah Jamal (Nominated Member),"  Mdm Speaker, I have three supplementary questions. Given the fact that the recent incident actually happened near Upper Pierce Reservoir, which is a nature reserve, whereas the actual reason for culling is meant for residential areas, does it mean then that the permit lacks clarity as to what they can and cannot do? Perhaps they are to be given proper oral instructions from AVA?",1,4,012-001-091-005-002-004,11
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,Ms Faizah Jamal (Nominated Member),"If I could get some clarification as to how much does AVA each trapper and if there is any indication that I can get on how many monkeys have been culled over the last year. Finally, what is the long-term strategy that AVA is planning instead of culling? Particularly in this case, where if you think about it, rubbish bins are actually a lot more cruel than cages, which at least have some kind of ventilation, and which provides some safety for the animal as well as for the public at large who happened to be passing by these public areas.",2,5,012-001-091-005-002-005,12
2014-02-21,Government's Monkey-trapping Protocols,012-001-091-005-002,Dr Mohamad Maliki Bin Osman,"  Madam, I think there were several questions there. First, on the safety of the animals and the bins, the bin is one of the approved methods and that is not the only one that has used in Singapore; we use cages. As I have said, monkeys do get familiar and cages are a lot more apparent to them when you put the baits around the cage. The bin traps are also used by the authorities in Hong Kong and they have proven to be affective.",1,6,012-001-091-005-002-006,13
