Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Baey Yam Keng,asked,1,1,012-002-093-004-001-001,1
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,The Minister of State for National Development (Mr Desmond Lee),,1,2,012-002-093-004-001-002,2
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,The Minister of State for National Development (Mr Desmond Lee),"Nevertheless, HDB home owners who take up HDB loans are required to purchase fire insurance from the HDB-appointed insurer. In addition, under the Building Maintenance and Strata Management Act, Management Corporations are required to obtain insurance for strata-titled developments, so that they are able to undertake restoration work to the developments in the event of accidents such as a fire.",2,3,012-002-093-004-001-003,3
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,The Minister of State for National Development (Mr Desmond Lee),"Regardless, I encourage all owners to ensure that their properties are adequately insured against damages caused by unfortunate accidents such as a fire. It would be prudent to do so.",3,4,012-002-093-004-001-004,4
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Baey Yam Keng (Tampines), ,1,5,012-002-093-004-001-005,5
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Desmond Lee,"  Mdm Speaker, in response to the Member's questions, more than 80% of HDB flats are covered by basic fire insurance that is offered by HDB's appointed insurer. We do not track the number of HDB flats covered by fire insurance that is offered by other insurers. So, the actual percentage would probably be much more than that.",1,6,012-002-093-004-001-006,6
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Desmond Lee,"Of those who have taken up HDB's basic fire insurance, certainly, more than half do so voluntarily and not because they are currently still servicing HDB loans. This is because HDB writes to homeowners and encourages them to apply for or renew their HDB basic fire insurance cover. But for those who are still on HDB loans, HDB will remind them when their policy is near expiry, and if they for some reason forget or omit to do so, HDB will procure the insurance for them first, and then recover the premiums later.",2,7,012-002-093-004-001-007,7
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Desmond Lee,"Premiums for HDB's basic fire insurance policy are very affordable. For instance, if you are an owner of a 4-room flat, coverage for five years would cost you $5.40 for five years; for a 5-room flat, $6.60 for five years.",3,8,012-002-093-004-001-008,8
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,Mr Desmond Lee,"This basic fire insurance cost covers the basic building structure of the flat, the fixtures and the fittings provided by HDB, to keep these premiums low and affordable for all homeowners of HDB flats. If they wish to get additional coverage of costs, they may need to get further insurance for their personal properties as well as their renovations. I hope that adequately answers the Member's questions.",4,9,012-002-093-004-001-009,9
2015-01-30,Compulsory Fire Insurance for Residential and Commercial Properties,012-002-093-004-001,,None,1,10,012-002-093-004-001-010,10
