Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2023-05-08,014-002-095-102-001,014-002-095-102,1,President's Address,Deputy Speaker's announcement for Address of Thanks,OS,
2023-05-08,014-002-095-102-002,014-002-095-102,2,Measures to Deal with Recent Spike in COE Prices,,OA,
2023-05-08,014-002-095-102-003,014-002-095-102,3,"Concept of ""Indivisible Security” in Speech on Russia-Ukraine War and Impact on Southeast Asia",,OA,
2023-05-08,014-002-095-102-004,014-002-095-102,4,Singapore's Position on Russian-Ukraine War One Year On,,OA,
2023-05-08,014-002-095-102-005,014-002-095-102,5,Impact of Recent Realignment of Roles and Salaries in Social Service Sector,,OA,
2023-05-08,014-002-095-102-006,014-002-095-102,6,Proposal to Review Cap of Coverage Per Depositor under Deposit Insurance,,OA,
2023-05-08,014-002-095-102-007,014-002-095-102,7,Data on Ultra-high Net Worth Individuals and Their Families Who Have Been Granted Singapore Citizenship,,OA,
2023-05-08,014-002-095-102-008,014-002-095-102,8,Campaign to Increase Awareness for Need to Bag Trash Thrown Down Rubbish Chutes of HDB Flats Despite New Plastic Bag Levy,,OA,
2023-05-08,014-002-095-102-009,014-002-095-102,9,Scaling Up Polyclinics' Capacity to Accommodate More Walk-in Patients with Urgent Conditions ,,OA,
2023-05-08,014-002-095-102-010,014-002-095-102,10,Factors Considered in Drawing up COMPASS Shortage Occupation List,,OA,
2023-05-08,014-002-095-102-011,014-002-095-102,11,Display of Bus Stop Codes to Help Commuters Identify Bus Stops in Advance of Arriving,,OA,
2023-05-08,014-002-095-102-012,014-002-095-102,12,Reports of Electronic Waste in Green Spaces Like Clementi Forest,,OA,
2023-05-08,014-002-095-102-013,014-002-095-102,13,Racial Mix Consideration at Annual Primary 1 Registration,,OA,
2023-05-08,014-002-095-102-014,014-002-095-102,14,Families that have Benefited from Home Ownership Plus Education Scheme,,OA,
2023-05-08,014-002-095-102-015,014-002-095-102,15,Impact of Recent Rise in Rental Prices of Commercial Properties on Singapore’s Competitiveness as Business Destination,,OA,
2023-05-08,014-002-095-102-016,014-002-095-102,16,Reports of Unauthorised Bank Transaction taking Place despite Absence of Alerts on Customer's Telephone Records,,OA,
2023-05-08,014-002-095-102-017,014-002-095-102,17,Clarification by Minister of State for Home Affairs,,OS,
2023-05-08,014-002-095-102-018,014-002-095-102,18,Meeting the Transport Needs of Singaporeans,Statement by Minister for Transport,OS,
2023-05-08,014-002-095-102-019,014-002-095-102,19,Bretton Woods Agreements (Amendment) Bill,,BI,
2023-05-08,014-002-095-102-020,014-002-095-102,20,Online Criminal Harms Bill,,BI,
2023-05-08,014-002-095-102-021,014-002-095-102,21,Family Justice Reform Bill,,BP,
2023-05-08,014-002-095-102-022,014-002-095-102,22,Suspension of Standing Orders,Minister of State and Senior Parliamentary Secretary to speak more than once,OS,
2023-05-08,014-002-095-102-023,014-002-095-102,23,Family Justice Reform Bill,,BP,
2023-05-08,014-002-095-102-024,014-002-095-102,24,"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) (Amendment) Bill",,BP,
2023-05-08,014-002-095-102-025,014-002-095-102,25,Adjournment of Debate ,,OS,
2023-05-08,014-002-095-102-026,014-002-095-102,26,Making Parliament a Fairer Arena for All,,OS,
2023-05-08,014-002-095-102-027,014-002-095-102,27,Semakau Landfill's Current Utilisation and Estimated Remaining Capacity,,WANA,
2023-05-08,014-002-095-102-028,014-002-095-102,28,Balloting Scheme for Singaporean Muslims to Perform Haj Pilgrimage,,WANA,
2023-05-08,014-002-095-102-029,014-002-095-102,29,Trend in Number of Seniors Living Alone and Staying Reclusive and Unconnected,,WANA,
2023-05-08,014-002-095-102-030,014-002-095-102,30,More Resources to Support Provision of Medical Escort Services for Elderly from Lower-income Households,,WANA,
2023-05-08,014-002-095-102-031,014-002-095-102,31,Options for Students Requiring Long-term In-patient Care for Physical or Mental Health Issues,,WANA,
2023-05-08,014-002-095-102-032,014-002-095-102,32,Timeline for Introduction of Anti-discrimination Law,,WANA,
2023-05-08,014-002-095-102-033,014-002-095-102,33,Significance of Singapore and China Joint Military Exercise in April/May 2023,,WANA,
2023-05-08,014-002-095-102-034,014-002-095-102,34,Additional Annual Subsidies for Outpatient MRI Scans for Retired or Low-income Citizens,,WANA,
2023-05-08,014-002-095-102-035,014-002-095-102,35,"Plans to Revamp Format of GCE ""A"" Level H1 General Paper Examination",,WANA,
2023-05-08,014-002-095-102-036,014-002-095-102,36,Attempts to Circumvent Law on Cross-border Movements of Physical Currency and Bearer Negotiable Instruments,,WANA,
2023-05-08,014-002-095-102-037,014-002-095-102,37,Loss by Government Agencies from Insolvency of Building and Infrastructure Contractors since COVID-19,,WANA,
2023-05-08,014-002-095-102-038,014-002-095-102,38,Replicating Parts of Korean Employment Permit Scheme in Recruitment of Low-wage Bangladeshi Migrant Workers,,WANA,
2023-05-08,014-002-095-102-039,014-002-095-102,39,Abuse of Additional Buyer's Stamp Duty by Joint Owners of HDB Flats,,WANA,
2023-05-08,014-002-095-102-040,014-002-095-102,40,Key Performance Indicators Tracked for Effectiveness of Courses in Upskilling Workers for Shortage Occupation List,,WANA,
2023-05-08,014-002-095-102-041,014-002-095-102,41,Percentage of Resolved and Repeated Feedback on Second-hand Smoke in Homes,,WANA,
2023-05-08,014-002-095-102-042,014-002-095-102,42,Progress on Construction of New Serangoon Polyclinic,,WANA,
2023-05-08,014-002-095-102-043,014-002-095-102,43,"Disclosure of Business Information on Carbon Emissions, Use of Renewable Energy and Climate Change Measures",,WANA,
2023-05-08,014-002-095-102-044,014-002-095-102,44,Differentiating CareersFinder to Fulfil Workers' Needs and Improve Jobseekers' Experience,,WANA,
2023-05-08,014-002-095-102-045,014-002-095-102,45,Reasons for not Pressing Charges against Mr Liew Kai Lung Karl under Section 177 of Penal Code,,WANA,
