Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2016-04-11,Estimates of Expenditure for the Financial Year 1 April 2016 to 31 March 2017,013-001-094-016-001,,Order read for consideration in Committee of Supply [4th Allotted Day].,1,1,013-001-094-016-001-001,1
2016-04-11,Estimates of Expenditure for the Financial Year 1 April 2016 to 31 March 2017,013-001-094-016-001,﻿[Mdm Speaker in the Chair],None,1,2,013-001-094-016-001-002,2
2016-04-11,Estimates of Expenditure for the Financial Year 1 April 2016 to 31 March 2017,013-001-094-016-001,﻿[Mdm Speaker in the Chair],,2,3,013-001-094-016-001-003,3
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"  Mdm Chairman, I beg to move, ""That the total sum to be allotted for head M of the Estimates be reduced by $100.""",1,1,013-001-094-016-002-001,4
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"As the largest buyer of goods and services in the market, the Government has significant market influence to shape enterprise behaviour and through its procurement practices incentivise businesses to draw on their research and innovative capabilities in coming up with solutions to public sector problems.",2,2,013-001-094-016-002-002,5
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),There is scope to enhance our procurement practices towards promoting innovation among our SMEs while at the same time delivering value for money for the public sector.,3,3,013-001-094-016-002-003,6
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"As a start, the public sector could earmark a portion of the public sector tenders specifically to promote and encourage innovations and creativity. I suggest that the Government establish a new ""buy innovation"" procurement framework where innovative solutions are being sought for public sector problems. This could be a new category of tenders carved out for projects where the public sector agencies intend to co-create solutions with SMEs.",4,4,013-001-094-016-002-004,7
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"In such tenders, the procurement of innovations is better achieved by specifying the public sector problems to be solved rather than by prescribing the solution and the work to be done, which is the usual approach.",5,5,013-001-094-016-002-005,8
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"Mdm Chair, at the public service level, our procurement rules and instruction manuals may also need to be reviewed and updated to cater for a more entrepreneurial and innovative society to come. We need to allow for sufficient discretions at the operating level for bite-size public sector projects to be awarded to small businesses who may be early movers or who are proactive in coming up with innovative solutions that the public agencies are looking for. Subjecting every proposal to an open tender would be the surest way to kill off initiative and creativity among the small businesses, and some could be start-ups.",6,6,013-001-094-016-002-006,9
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"Understandably, there is a need to devise new and alternative governance safeguards other than just making every tenderer compete on prices in the name of transparency and fairness.",7,7,013-001-094-016-002-007,10
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),Getting the best price tender may not necessary bring out the most creative and innovative solution which serve the long-term needs of the public sector. The cumulative solution may not be a more sustainable solution.,8,8,013-001-094-016-002-008,11
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"In the private sector, awarding contracts on the basis of ideas and innovation by large companies to small firms are already prevalent. Many developed countries' public sectors do have tailored made procurement practices too that promote innovations and co-creations.",9,9,013-001-094-016-002-009,12
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"We can take a leaf from UK. To help SMEs develop innovative solutions to public sector challenges, the UK government established the Small Business Research Initiative (SBRI) specifically to help small companies compete for government projects. The SBRI help connect small businesses to government departments who have public sector problems and assist small businesses come up with innovative solutions and ideas. This scheme even helps with bridge finance and in cases of new invention, to safeguard the intellectual property.",10,10,013-001-094-016-002-010,13
2016-04-11,Committee of Supply – Head M (Ministry of Finance),013-001-094-016-002,Mr Liang Eng Hwa (Holland-Bukit Timah),"In Singapore, we do have a similar scheme known as Public-Private Co-Innovation Partnership (CI Partnership), which is the platform for the Government department and local companies to co-develop innovative solutions to meet Government's needs.",11,11,013-001-094-016-002-011,14
