Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2016-11-10,Revision of Question Time,013-001-094-029-001,Mdm Speaker, ,1,1,013-001-094-029-001-001,1
2016-11-10,Revision of Question Time,013-001-094-029-001,The Leader of the House (Ms Grace Fu Hai Yien), ,1,2,013-001-094-029-001-002,2
2016-11-10,Revision of Question Time,013-001-094-029-001,Mdm Speaker,   I give my consent. Does the Leader of the House have the general assent of the hon Members present to so move?,1,3,013-001-094-029-001-003,3
2016-11-10,Revision of Question Time,013-001-094-029-001,Hon Members,indicated assent.,1,4,013-001-094-029-001-004,4
2016-11-10,Revision of Question Time,013-001-094-029-001,Hon Members,"With the consent of Mdm Speaker, and the general assent of Members present,",2,5,013-001-094-029-001-005,5
2016-11-10,Revision of Question Time,013-001-094-029-001,Hon Members,"Question put, and agreed to.",3,6,013-001-094-029-001-006,6
2016-11-10,Revision of Question Time,013-001-094-029-001,Hon Members,"Resolved, ""That, notwithstanding Standing Order No 22(1), Question Time at this day's sitting may continue for up to 30 minutes from the commencement of the sitting.""",4,7,013-001-094-029-001-007,7
2016-11-10,Revision of Question Time,013-001-094-029-001,[Mdm Speaker in the Chair],None,1,8,013-001-094-029-001-008,8
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Mr Dennis Tan Lip Fong,asked,1,1,013-001-094-029-002-001,9
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,The Minister for Defence (Dr Ng Eng Hen),"  Mdm Speaker, as an independent and sovereign nation, Singapore pursues policies for its own interests for all matters of state, including defence, with the goal to attain the right and best conditions that ensure our survival and progress in this competitive world. We, Singaporeans, are ultimately responsible for our own security but we will partner like-minded countries that pursue common objectives of peace and stability for our region.",1,2,013-001-094-029-002-002,10
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,The Minister for Defence (Dr Ng Eng Hen),"For this reason, Singapore joined the Five Power Defence Arrangements (FPDA) in 1971 which imposes an obligation on the five nations to consult in the event of an external attack on Malaysia and Singapore. In the past decade, we have also worked with other ASEAN countries to build a security architecture that is inclusive and based on the rule of law; where peaceful settlement of disputes, dialogue, cooperation and non-provocation are the norm for countries within that framework. This led to the set-up of ASEAN Defence Ministers' Meeting (ADMM)-Plus in 2010, which includes, apart from the ASEAN member states, China, India, Japan, South Korea, Australia and New Zealand from Asia, as well as the US and Russia.",2,3,013-001-094-029-002-003,11
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,The Minister for Defence (Dr Ng Eng Hen),"As a matter of policy, Singapore will continue to partner like-minded countries to pursue peace and stability for our region. We seek to be friends with all militaries and encourage them to use our port and airbases for transit. Indeed, military ships and submarines from many countries, both from ASEAN-Plus countries like US, China, India and Japan as well as from other continents like Europe, South America, Oceania and Africa, stop and use facilities at Changi Naval Base.",3,4,013-001-094-029-002-004,12
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,The Minister for Defence (Dr Ng Eng Hen),"US ships and planes are more frequent users since the 1990 Memorandum of Understanding (MOU) was signed by our founding PM, Mr Lee Kuan Yew, and then-US Vice President Dan Quayle. That MOU facilitated the US' presence in this region and provided the security umbrella under which emerging economies in Asia thrived. The MOU was updated by the Strategic Framework Agreement by Prime Minister Lee and then-US President George W Bush in 2005. And recently, we enhanced Defence Cooperation Agreement with the US in 2015.",4,5,013-001-094-029-002-005,13
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Mr Dennis Tan Lip Fong (Non-Constituency Member), ,1,6,013-001-094-029-002-006,14
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Dr Ng Eng Hen,"  Madam, the main thrust of my response to the Member's questions is that Singapore must dictate its policies based on its own interests. That is our starting point. Our policy must work to the best of Singapore and Singaporeans.",1,7,013-001-094-029-002-007,15
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Dr Ng Eng Hen,"Now, obviously, we have to watch what other countries do with foreign policy. Singapore is a small country and as I said in my answer, we will work with like-minded partners who pursue peace and stability in our region. In this framework, we have facilitated and pushed for ADMM-Plus. We push for joint cooperation and exercises with other countries, and we want to seek to have as many friends as possible. We encourage countries to use our facilities, whether it is Changi Naval Base or the airbases.",2,8,013-001-094-029-002-008,16
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Dr Ng Eng Hen,"There are specific agreements that we have entered into. I mentioned the FPDA in 1971; there is a historical basis, but it also falls in line with this overarching principle that we will work with like-minded countries that seek peace and stability in our region.",3,9,013-001-094-029-002-009,17
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Dr Ng Eng Hen,"We also have an MOU, a Strategic Framework Agreement and an enhanced DCA with the US, which facilitates the use of their ships and planes in our airbases.",4,10,013-001-094-029-002-010,18
2016-11-10,Impact on Singapore of Phase Three of US Rebalancing Strategy,013-001-094-029-002,Dr Ng Eng Hen,"To answer the many theoretical scenarios which the Member has raised, which I do not propose to address, I think our starting point is whatever the calculations of other countries, whatever their foreign policy, we start from this important fundamental – we seek to make sure that Singapore benefits the most. Our foreign policy or defence policy is predicated on making sure that we position ourselves in the best possible position to survive and to compete. We want to make friends with as many militaries and countries as possible.",5,11,013-001-094-029-002-011,19
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Mr Louis Ng Kok Kwang,asked,1,1,013-001-094-029-003-001,20
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Miss Cheng Li Hui,asked,1,2,013-001-094-029-003-002,21
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,The Senior Minister of State for Health (Dr Amy Khor Lean Suan),,1,3,013-001-094-029-003-003,22
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Mdm Speaker, ,1,4,013-001-094-029-003-004,23
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Dr Amy Khor Lean Suan,"  Thank you. MOH had previously received requests to allow Pre-implantation Genetic Screening (PGS) to identify chromosomal abnormalities in embryos created through in-vitro fertilisation (IVF), with the aim of improving the chances of conceiving. We had not granted approval so far as the published evidence had been unclear. In recent years however, newer technologies for PGS have emerged and some jurisdictions have now allowed PGS.",1,5,013-001-094-029-003-005,24
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Dr Amy Khor Lean Suan,"MOH is therefore reviewing the clinical effectiveness of PGS and its ethical implications. To assess clinical effectiveness, NUH will be conducting a three-year pilot PGS programme which will commence by early next year.",2,6,013-001-094-029-003-006,25
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Dr Amy Khor Lean Suan,"MOH will also look into the ethical concerns and regulation of PGS. For example, we will need to ensure that embryos are not eliminated solely based on parental preferences on characteristics such as gender.",3,7,013-001-094-029-003-007,26
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Dr Amy Khor Lean Suan,MOH will consult stakeholders and the public to gather views.,4,8,013-001-094-029-003-008,27
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Mr Louis Ng Kok Kwang (Nee Soon), ,1,9,013-001-094-029-003-009,28
2016-11-10,Genetic Screening for Women Seeking Fertility Treatment,013-001-094-029-003,Dr Amy Khor Lean Suan, ,1,10,013-001-094-029-003-010,29
2016-11-10,Reduction in Hawker Stall Rent for Hawkers who Fall Ill,013-001-094-029-004,Mr Dennis Tan Lip Fong,asked,1,1,013-001-094-029-004-001,30
2016-11-10,Reduction in Hawker Stall Rent for Hawkers who Fall Ill,013-001-094-029-004,The Senior Minister of State for the Environment and Water Resources (Dr Amy Khor Lean Suan),,1,2,013-001-094-029-004-002,31
