Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,Mr Sitoh Yih Pin,asked,1,1,012-002-093-023-001-001,1
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),"  Mdm Speaker, as the House is aware, the Public Utilities Board (PUB) owns the Johor River Waterworks, in the Kota Tinggi District of Johor. The Waterworks extracts and treats water from the Johor River. This is done in accordance with the 1962 Water Agreement.",1,2,012-002-093-023-001-002,2
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),,2,3,012-002-093-023-001-003,3
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),"In late-2014, the Kota Tinggi District Council issued a Notice seeking to double the rate of land assessment tax imposed on the Waterworks. The revised rate was more than double that of the next highest rate in the entire Kota Tinggi District. The Waterworks' assessed property value was also increased. The new rate was applied to a category which was created solely for PUB.",3,4,012-002-093-023-001-004,4
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),,4,5,012-002-093-023-001-005,5
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),"PUB's operations in Johor are governed by the 1962 Water Agreement. That Agreement governs what PUB has to pay. PUB is not obliged to pay the land assessment tax which has been sought to be imposed. There is some additional background on Johor authorities imposing such taxes, in the past.",5,6,012-002-093-023-001-006,6
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),,6,7,012-002-093-023-001-007,7
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),"For present purposes, I do not propose to go into what had happened in the past. In respect of the latest tax assessments, we have registered our concerns. My Ministry has done so with the Malaysian Ministry of Foreign Affairs through two Third Person Notes (TPN). PUB has got in touch with the Kota Tinggi District Council on the same. I have also raised this issue directly with my Malaysian counterpart, Foreign Minister Anifah Aman, twice, in April 2015 and on 4 August 2015. Prime Minister Lee Hsien Loong has also spoken directly to Prime Minister Najib Razak in May 2015.",7,8,012-002-093-023-001-008,8
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),,8,9,012-002-093-023-001-009,9
2015-08-18,Land Assessment Tax for PUB's Waterworks in Johor,012-002-093-023-001,The Minister for Foreign Affairs (Mr K Shanmugam),"Malaysia is aware that the issue of PUB's rights under the 1962 Water Agreement is critical and sensitive for us. The Malaysian federal government has guaranteed in the Separation Agreement that Johor would abide by the 1962 Water Agreement, and as I have said earlier, the Agreement does not require the payment of this land tax. We have requested the Malaysian federal government to address this issue. The federal government has indicated that it would work with the Johor state government to address our concerns. Thank you, Mdm Speaker.",9,10,012-002-093-023-001-010,10
2015-08-18,Prices Charged at Hawker and Food Centres,012-002-093-023-002,Ms Kuik Shiao-Yin,asked,1,1,012-002-093-023-002-001,11
2015-08-18,Prices Charged at Hawker and Food Centres,012-002-093-023-002,The Minister for the Environment and Water Resources (Dr Vivian Balakrishnan),"  Hawker centres are a unique Singapore feature and they are, in my opinion, essential social infrastructure. They are places where Singaporeans from all walks of life can gather, interact and enjoy fresh food at affordable prices. Over 85% of our hawkers today pay less than $1,500 per month in rent and in fact 41% of them are paying subsidised rental ranging from $160 to $384.",1,2,012-002-093-023-002-002,12
