Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Zainal Sapari,asked,1,1,012-002-093-021-001-001,1
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Zaqy Mohamad,asked,1,2,012-002-093-021-001-002,2
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Gan Thiam Poh,asked,1,3,012-002-093-021-001-003,3
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,,"<strong style=""background-color  transparent; color  rgb(0, 0, 0);"">The Senior Minister of State for National Development (Mr Lee Yi Shyan) (for the Minister for National Development)</strong>",1,4,012-002-093-021-001-004,4
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mdm Speaker, ,1,5,012-002-093-021-001-005,5
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Lee Yi Shyan,"  Thank you. While we try to offer the Lift Upgrading Programme (LUP) to as many HDB blocks as possible, there are some blocks where the LUP is not feasible due to technical constraints or prohibitively high cost. Through the adoption of new technologies and innovative solutions, HDB has reduced the number of such blocks to about 200. We continue to explore ways so that even more households can benefit.",1,6,012-002-093-021-001-006,6
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Lee Yi Shyan,"For example, HDB is piloting two new solutions - the Pneumatic Vacuum Elevator (PVE) and the Vertical Platform Lift (VPL). The PVE has been turned on for public trial last month, while the VPL is currently being evaluated. HDB is testing the new lift solutions to ensure that they are safe and technically reliable before rolling them out. Surveys will also be conducted to gather feedback from users of the PVE and VPL, and the results will help us determine if they are suitable for wider implementation.",2,7,012-002-093-021-001-007,7
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Lee Yi Shyan,"Residents who wish to move to a unit with direct lift access can sell their existing flat and either buy a resale flat or a new subsidised flat if they meet eligibility conditions. Meanwhile, Singaporean residents who are in urgent need of direct lift access due to medical conditions or disability may approach HDB for housing and financing assistance. HDB assesses each request on a case-by-case basis to see how best we can render help.",3,8,012-002-093-021-001-008,8
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Zaqy Mohamad (Chua Chu Kang),"  I thank the Senior Minister of State for his reply to my Parliamentary Question (PQ). In my experience so far, as the Senior Minister of State had mentioned, HDB does look at each case on a case-by-case basis. The experience of some of these residents is that they want to move out but they cannot; and even through appeals, they cannot get through because most of them are immobile and aged. Therefore, if they want to buy a better flat, it is very difficult to get a loan. Sometimes, they have already taken two concessionary loans. And if they want to downgrade, they seem to have a lot of difficulties in doing so. Many of them have not been successful in such appeals, although the Senior Minister of State mentioned that HDB does look at these on an individual basis. Will the HDB consider giving even more special consideration for such families, especially those who are aged and hardly mobile.",1,9,012-002-093-021-001-009,9
2015-07-14,Measures to Help Residents whose Flats Do Not Enjoy Direct Lift Access,012-002-093-021-001,Mr Zaqy Mohamad (Chua Chu Kang),"Second question is this  specifically to the number of LUP flats, there are about 200 left, as I understand it. HDB has done about 98% of flats through the LUP; there are just 2% of flats left. Many residents I meet ask, ""There is just 2% left. Why does HDB not consider removing that cap? There are many flats out there that are technically feasible for LUP, but just that they cannot meet the cost cap."" Given that there are just so few left, why does HDB not consider removing the cost cap?",2,10,012-002-093-021-001-010,10
