Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2020-01-06,013-002-094-115-001,013-002-094-115,1,"Impact of US-China Phase 1 Trade Deal on Singapore’s Economy, Exports and Businesses",,OA,
2020-01-06,013-002-094-115-002,013-002-094-115,2,"New Jobs Filled by Singaporeans, PRs and Foreigners in Industries Covered by Industry Transformation Maps (ITMs)",,OA,
2020-01-06,013-002-094-115-003,013-002-094-115,3,Total Factor Productivity (TFP)’s Contribution to GDP Growth in Past 10 Years,,OA,
2020-01-06,013-002-094-115-004,013-002-094-115,4,Update on Enforcement and Other Measures after Ban of PMDs on Footpaths,,OA,
2020-01-06,013-002-094-115-005,013-002-094-115,5,Measuring Public Interest Threshold and Maintaining Public Trust under Protection From Online Falsehoods and Manipulation Act (POFMA) Framework,,OA,
2020-01-06,013-002-094-115-006,013-002-094-115,6,Revision of Question Time,,OS,
2020-01-06,013-002-094-115-007,013-002-094-115,7, Measuring Public Interest Threshold and Maintaining Public Trust under Protection From Online Falsehoods and Manipulation Act (POFMA) Framework,Answer resumed,OA,
2020-01-06,013-002-094-115-008,013-002-094-115,8,Obligations Placed on Digital Advertising and Internet Intermediaries under Code of Practice for Transparency of Online Political Advertisements,,OA,
2020-01-06,013-002-094-115-009,013-002-094-115,9,Merchant Shipping (Maritime Labour Convention) (Amendment) Bill,,BI,
2020-01-06,013-002-094-115-010,013-002-094-115,10,Shared Mobility Enterprises (Control and Licensing) Bill,,BI,
2020-01-06,013-002-094-115-011,013-002-094-115,11,Active Mobility (Amendment) Bill,,BI,
2020-01-06,013-002-094-115-012,013-002-094-115,12,Geographical Indications (Amendment) Bill,,BI,
2020-01-06,013-002-094-115-013,013-002-094-115,13,Singapore Convention on Mediation Bill,,BI,
2020-01-06,013-002-094-115-014,013-002-094-115,14,"Hazardous Waste (Control of Export, Import and Transit) (Amendment) Bill",,BI,
2020-01-06,013-002-094-115-015,013-002-094-115,15,National Environment Agency (Amendment) Bill,,BI,
