Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Mr Yip Hon Weng,"asked the Minister for Health (a) whether the Ministry is exploring the authorisation of the Pfizer-BioNTech COVID-19 vaccine for children aged under five; and (b) with some countries adopting different stands towards vaccination of young children against COVID-19, how does the Ministry decide which is the most suitable strategy for our country.",1,1,014-001-095-053-001-001,1
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,The Senior Minister of State for Health (Dr Janil Puthucheary) (for the Minister for Health),"  Sir, the Pfizer-BioNTech COVID-19 vaccine is currently approved for use in individuals aged above five. The use of vaccine for younger children is still being studied in clinical trials.",1,2,014-001-095-053-001-002,2
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,The Senior Minister of State for Health (Dr Janil Puthucheary) (for the Minister for Health),"MOH, in consultation with the Expert Committee on COVID-19 Vaccination, the EC19V, continues to examine different vaccine strategies, based on the risk-benefit assessment to the relevant subpopulation, in the context of the evolving COVID-19 situation.",2,3,014-001-095-053-001-003,3
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Mr Speaker,  Mr Yip Hon Weng.,1,4,014-001-095-053-001-004,4
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Mr Yip Hon Weng (Yio Chu Kang),"  Thank you, Mr Speaker. I thank the Senior Minister of State for his reply. What is the infection rate of children under five years old in Singapore? There is a new study that suggests that the Pfizer-BioNTech vaccine is less effective for children. Is the Ministry looking into other vaccines like the one by Johnson & Johnson or non-mRNA vaccines like the ones by Sinovac or Novavax, for approval for use in children below five? What more should parents of children below five years old do to prevent them from getting COVID-19, since there is currently no vaccination?",1,5,014-001-095-053-001-005,5
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Dr Janil Puthucheary,"  Sir, the Member asked three questions. For the first, the specific data is a slightly different issue from the Parliamentary Question (PQ) he had filed. I suggest he file a PQ, potentially a written PQ, for that data. We will get it to him.",1,6,014-001-095-053-001-006,6
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Dr Janil Puthucheary,"For his second question about other vaccines, we are studying all clinical data that is being produced for all the therapeutic interventions for COVID-19. We will take that data, we will take the recommendations from our professionals and experts, and we will assess the various products as they become available for licensing here in Singapore.",2,7,014-001-095-053-001-007,7
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Dr Janil Puthucheary,"In terms of what parents can do, hygiene continues to be important. Making sure that we stay at home if we are feeling unwell, engage with the testing procedures, the various protocols that we have explained for community protocols – Protocols 1, 2 and 3. These are not just for ourselves. They are for our family, our loved ones and society at large. And if we can all play our part in helping, then, the youngest, most vulnerable and all vulnerable members of our society will be better protected.",3,8,014-001-095-053-001-008,8
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Mr Speaker,  Leader of the Opposition.,1,9,014-001-095-053-001-009,9
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Mr Pritam Singh (Aljunied),"  Thank you, Mr Speaker. Just a quick question for the Senior Minister of State. This is with regard to the study that was being referred to by hon Member Mr Yip Hon Weng. Has that changed the consideration of the Expert Committee and the Ministry as to the effectiveness of vaccination amongst children, especially those from five to 12? How is the Ministry responding to that study? Is the Ministry undertaking its own independent study in Singapore as to the effectiveness of the vaccine for children above the age of 12?",1,10,014-001-095-053-001-010,10
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Dr Janil Puthucheary,"  Sir, I thank the Member for the questions. The issue is not whether a vaccine is or is not effective. There is a matter of timing of those and the circumstances. So, the matter continues to be studied by various people around the world, as well as our experts here.",1,11,014-001-095-053-001-011,11
2022-03-03,Review of Pfizer-BioNTech COVID-19 Vaccine for Children Aged Five and Under,014-001-095-053-001,Dr Janil Puthucheary,"For children in the age groups that the Member mentioned, where the vaccines are already being rolled out, indeed, we continue through our various public health processes, to monitor and measure the effectiveness of the vaccination process.",2,12,014-001-095-053-001-012,12
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,Mr Leon Perera,"asked the Minister for Health (a) how regularly does the Ministry conduct reviews on the necessity of TraceTogether and SafeEntry; (b) what are the metrics that the Ministry considers when making this regular determination that TraceTogether and SafeEntry are still necessary; and (c) whether the Ministry (i) quantifies the impact of the compliance burden on business owners, the effect on productivity and electricity consumption in general in enforcing these requirements and (ii) takes into account this burden in the metrics.",1,1,014-001-095-053-002-001,13
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,The Senior Minister of State for Health (Dr Janil Puthucheary) (for the Minister for Health),"  Sir, as we have described in previous responses to Parliamentary Questions, TraceTogether and SafeEntry continue to play important roles in our pandemic response system. TraceTogether and SafeEntry enable verification checks into venues or activities where vaccination-differentiated safe management measures (VDS) are in force. This is necessary to protect unvaccinated persons who remain at higher risk of severe disease.",1,2,014-001-095-053-002-002,14
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,The Senior Minister of State for Health (Dr Janil Puthucheary) (for the Minister for Health),"We aim to keep rules and requirements simple, and we regularly review the need for these. We will continue to rationalise and simplify our safe management measures.",2,3,014-001-095-053-002-003,15
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,Mr Speaker,  Mr Leon Perera.,1,4,014-001-095-053-002-004,16
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,Mr Leon Perera (Aljunied),"  I thank the Senior Minister of State for his answer. Just one supplementary question. Given that the compliance burden for TraceTogether and SafeEntry is not insignificant – it impacts time, productivity and so on – what would be the criterion or criteria that the Ministry would use to make the decision to phase it out? At what point will that actually happen?",1,5,014-001-095-053-002-005,17
2022-03-03,Reviews on Necessity of TraceTogether and SafeEntry Scans,014-001-095-053-002,Dr Janil Puthucheary,"  I thank the Member for his questions. Indeed, measures that affect public health and safety do have a compliance burden. This is not unique to TraceTogether and SafeEntry. Neither is it unique to the COVID-19 situation. If we look at, for example, the automobile industry, the use of seat belts is a cost burden, but we do it now after many decades of education because it has proven its worth.",1,6,014-001-095-053-002-006,18
