Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2019-08-05,013-002-094-107-001,013-002-094-107,1,Protection and Safety of Pedestrians Given Challenges Presented by PMDs and E-scooter Users,,OA,
2019-08-05,013-002-094-107-002,013-002-094-107,2,Enhanced Law Enforcement at Orchard Towers,,OA,
2019-08-05,013-002-094-107-003,013-002-094-107,3,Home Team’s Readiness to Deal with Multiple Concurrent Civil Unrest Incidents,,OA,
2019-08-05,013-002-094-107-004,013-002-094-107,4,Singapore’s Abstention from Vote on International Labour Organization's Convention on Workplace Violence and Harassment,,OA,
2019-08-05,013-002-094-107-005,013-002-094-107,5,Trend for Average Annual Government Spending on Foreign Students over Past 10 Years,,OA,
2019-08-05,013-002-094-107-006,013-002-094-107,6,Number of Foreign Students who Have Defaulted on Tuition Grant Bond Obligations,,OA,
2019-08-05,013-002-094-107-007,013-002-094-107,7,Average Teacher-Student Ratio in Schools,,OA,
2019-08-05,013-002-094-107-008,013-002-094-107,8, Rationale for Inability to Recover Overpayment Amount for Contract Variations in National Gallery Development Project,,OA,
2019-08-05,013-002-094-107-009,013-002-094-107,9,Update on Review of Sports Hub Public-Private Partnership Arrangement,,OA,
2019-08-05,013-002-094-107-010,013-002-094-107,10,Effectiveness of War Against Diabetes,,OA,
2019-08-05,013-002-094-107-011,013-002-094-107,11,Proposal for Pioneer Generation and Merdeka Generation Cardholders to Receive Subsidies for Certain Traditional Chinese Medicine Treatments ,,OA,
2019-08-05,013-002-094-107-012,013-002-094-107,12,Extension of HDB Repair Services to Support Elderly or Less Mobile Residents in Non-rental Flats,,OA,
2019-08-05,013-002-094-107-013,013-002-094-107,13,Selectively Allowing Single Parent and Child to Rent HDB Flats,,OA,
2019-08-05,013-002-094-107-014,013-002-094-107,14,Job-readiness Training at Day Activity Centres,,OA,
2019-08-05,013-002-094-107-015,013-002-094-107,15,Personal Mobility Devices,Statement on behalf of Minister for Transport,OS,
2019-08-05,013-002-094-107-016,013-002-094-107,16,Reciprocal Enforcement of Commonwealth Judgments (Repeal) Bill,,BI,
2019-08-05,013-002-094-107-017,013-002-094-107,17,Reciprocal Enforcement of Foreign Judgments (Amendment) Bill,,BI,
2019-08-05,013-002-094-107-018,013-002-094-107,18,Resource Sustainability Bill,,BI,
2019-08-05,013-002-094-107-019,013-002-094-107,19,Work Injury Compensation Bill,,BI,
