Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2013-03-08,012-001-090-011-001,012-001-090-011,1,Childcare Centre Operators,Changeover of management,OA,
2013-03-08,012-001-090-011-002,012-001-090-011,2,Programme for Rebuilding and Improving Existing Schools (PRIME),,OA,
2013-03-08,012-001-090-011-003,012-001-090-011,3,Performance of PSC Undergraduate Scholarship Holders,,OA,
2013-03-08,012-001-090-011-004,012-001-090-011,4,Supplementary Estimates of Expenditure for the Financial Year 1 April 2012 to 31 March 2013,Paper Cmd 4 of 2013,OS,
2013-03-08,012-001-090-011-005,012-001-090-011,5,"Estimates of Expenditure for the Financial Year 1st April, 2013 to 31st March, 2014",Committee of Supply – Paper Cmd. 3 of 2013,OS,
2013-03-08,012-001-090-011-006,012-001-090-011,6,Head N – Ministry of Foreign Affairs,Committee of Supply,OS,
2013-03-08,012-001-090-011-007,012-001-090-011,7,Head R –  Ministry of Law,,OS,
2013-03-08,012-001-090-011-008,012-001-090-011,8,Head Q –  Ministry of Communications and Information,,OS,
2013-03-08,012-001-090-011-009,012-001-090-011,9,Head T –  Ministry of National Development,,OS,
2013-03-08,012-001-090-011-010,012-001-090-011,10,Exempted Business,Committee of Supply,OS,
2013-03-08,012-001-090-011-011,012-001-090-011,11,Head T –  Ministry of National Development ,Committee of Supply,OS,
2013-03-08,012-001-090-011-012,012-001-090-011,12,Committee of Supply Reporting Progress,,OS,
2013-03-08,012-001-090-011-013,012-001-090-011,13,Adjournment,,OS,
2013-03-08,012-001-090-011-014,012-001-090-011,14,Cost of Conducting the Recent Punggol East By-election,,WA,
2013-03-08,012-001-090-011-015,012-001-090-011,15,Breaches of Rules and Regulations Governing Outdoor Rallies in the 2011 Presidential Election and 2013 Punggol East By-election,,WA,
2013-03-08,012-001-090-011-016,012-001-090-011,16,Use of the Construction Productivity and Capability Fund (CPCF),,WA,
2013-03-08,012-001-090-011-017,012-001-090-011,17,NUS Campus Crusade for Christ (NCCC) Student Group,,WA,
