Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2013-09-16,Public Accounts Committee and Public Petition Committee,012-001-090-022-001,Mdm Speaker,"  Order. I wish to inform hon Members that under the provisions of Standing Order No 102, I have on 5 September 2013 nominated the following Members to fill vacancies in the respective Standing Select Committees ",1,1,012-001-090-022-001-001,1
2013-09-16,Public Accounts Committee and Public Petition Committee,012-001-090-022-001,Mdm Speaker,(1)	Mr Gan Thiam Poh to be a Member of the Public Accounts Committee in place of Mr Desmond Lee; and,2,2,012-001-090-022-001-002,2
2013-09-16,Public Accounts Committee and Public Petition Committee,012-001-090-022-001,Mdm Speaker,(2)	Dr Lim Wee Kiak to be a Member of the Public Petitions Committee.,3,3,012-001-090-022-001-003,3
2013-09-16,Public Accounts Committee and Public Petition Committee,012-001-090-022-001,Mdm Speaker,The nominations take effect from 5 September 2013.,4,4,012-001-090-022-001-004,4
2013-09-16,Revision of Question Time,012-001-090-022-002,The Leader of the House (Dr Ng Eng Hen),"  Mdm Speaker, may I seek your consent and the general assent of Members present to move that Question Time at this day's sitting be exempted from the provisions of Standing Order No 22(1) so as to enable Questions for Oral Answer to be taken till 4.00 pm today?",1,1,012-001-090-022-002-001,5
2013-09-16,Revision of Question Time,012-001-090-022-002,Mdm Speaker,  I give my consent. Does the Leader of the House have the general assent of hon Members present to so move?,1,2,012-001-090-022-002-002,6
2013-09-16,Revision of Question Time,012-001-090-022-002,Hon Members,[(proc text) indicated assent. (proc text)],1,3,012-001-090-022-002-003,7
2013-09-16,Revision of Question Time,012-001-090-022-002,Hon Members,"[(proc text) With the consent of Mdm Speaker, and the general assent of Members present, (proc text)]",2,4,012-001-090-022-002-004,8
2013-09-16,Revision of Question Time,012-001-090-022-002,Hon Members,"[(proc text) Question put, and agreed to. (proc text)]",3,5,012-001-090-022-002-005,9
2013-09-16,Revision of Question Time,012-001-090-022-002,Hon Members,"[(proc text) Resolved, ""That notwithstanding Standing Order 22(1), Questions for Oral Answer set down on the Order Paper for today be taken till 4.00 pm today."" (proc text)]",4,6,012-001-090-022-002-006,10
2013-09-16,Relocation of Paya Lebar Airbase,012-001-090-022-003,Dr Lim Wee Kiak,"asked	the Minister for Defence in light of the relocation of Paya Lebar Airbase, how will the Government maintain the Republic of Singapore Air Force's operational readiness and ensure that Singapore's security needs will not be compromised.",1,1,012-001-090-022-003-001,11
2013-09-16,Relocation of Paya Lebar Airbase,012-001-090-022-003,The Minister for Defence (Dr Ng Eng Hen),"  Mdm Speaker, the Member Dr Lim Wee Kiak has asked a highly relevant question as the relocation of Paya Lebar Airbase (PLAB) must never compromise the ability of the Republic of Singapore Air Force (RSAF) to safeguard Singapore's security and sovereignty.",1,2,012-001-090-022-003-002,12
