Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-03-05,014-001-095-026-001,014-001-095-026,1,Engaging Children of Drug Offenders to Mitigate Risks of Them Becoming Drug Offenders ,,OA,
2021-03-05,014-001-095-026-002,014-001-095-026,2,Concrete Steps by ASEAN to Facilitate Return to Stability in Myanmar ,,OA,
2021-03-05,014-001-095-026-003,014-001-095-026,3,Postal Services (Amendment) Bill,,BI,
2021-03-05,014-001-095-026-004,014-001-095-026,4,Proceedings on Ministerial Statement,Suspension of Standing Orders,OS,
2021-03-05,014-001-095-026-005,014-001-095-026,5,Review of Sentencing Framework for Sexual and Hurt Offences,,OS,
2021-03-05,014-001-095-026-006,014-001-095-026,6,Commencement Time of Committee of Supply,Announcement by Mr Speaker,OS,
2021-03-05,014-001-095-026-007,014-001-095-026,7,Estimates of Expenditure of Singapore for the Financial Year 1 April 2021 to 31 March 2022,Committee of Supply - Paper Cmd 5 of 2021,OS,
2021-03-05,014-001-095-026-008,014-001-095-026,8,Committee of Supply – Head W (Ministry of Transport),Building a liveable and sustainable home,OS,
2021-03-05,014-001-095-026-009,014-001-095-026,9,Committee of Supply – Head O (Ministry of Health),Fostering a resilient and caring society,OS,
2021-03-05,014-001-095-026-010,014-001-095-026,10,Committee of Supply – Head I (Ministry of Social and Family Development),Fostering a resilient and caring society,OS,
2021-03-05,014-001-095-026-011,014-001-095-026,11,Exempted Business (Committee of Supply),Business motion without notice,OS,
2021-03-05,014-001-095-026-012,014-001-095-026,12,Committee of Supply – Head I (Ministry of Social and Family Development),Fostering a resilient and caring society,OS,
2021-03-05,014-001-095-026-013,014-001-095-026,13,Committee of Supply Reporting Progress,,OS,
2021-03-05,014-001-095-026-014,014-001-095-026,14,Adjournment,,OS,
2021-03-05,014-001-095-026-015,014-001-095-026,15,School Fees at Government-funded Special Education Schools,,WANA,
2021-03-05,014-001-095-026-016,014-001-095-026,16,Telemedicine and Mobile Medical Services for Mental Health,,WANA,
2021-03-05,014-001-095-026-017,014-001-095-026,17,Policy of Providing HDB Flats to 80% of Singapore’s Resident Population,,WANA,
2021-03-05,014-001-095-026-018,014-001-095-026,18,Use of More Sustainable Materials as Alternative to Plastics in Local Mask Manufacturing,,WA,
2021-03-05,014-001-095-026-019,014-001-095-026,19,Review of Regulatory Approach for Pet Industry and Pet Boarding Businesses,,WA,
2021-03-05,014-001-095-026-020,014-001-095-026,20,Update on Investigations into Alleged Animal Welfare-related Offences by Operator of Pet Boarding Facility Platinium Dogs Club,,WA,
