Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2014-03-03,012-001-091-006-001,012-001-091-006,1,Age Requirement for Co-tenant of Subsidised HDB Rental Flats,,OA,
2014-03-03,012-001-091-006-002,012-001-091-006,2,Overstayers in Singapore,,OA,
2014-03-03,012-001-091-006-003,012-001-091-006,3,Source Countries for Construction Workers,,OA,
2014-03-03,012-001-091-006-004,012-001-091-006,4,Students under Direct School Admission (DSA) Scheme who Drop Out of CCAs,,OA,
2014-03-03,012-001-091-006-005,012-001-091-006,5,Polygraph Testing in Police Investigations,,OA,
2014-03-03,012-001-091-006-006,012-001-091-006,6,Measures to Protect Interests of Residents of Town Councils,,OA,
2014-03-03,012-001-091-006-007,012-001-091-006,7,Bed Crunch at Restructured Hospitals,,OA,
2014-03-03,012-001-091-006-008,012-001-091-006,8,Supply Bill,,BI,
2014-03-03,012-001-091-006-009,012-001-091-006,9,Supplementary Supply (FY 2013) Bill,,BI,
2014-03-03,012-001-091-006-010,012-001-091-006,10,Protection from Harassment Bill,,BI,
2014-03-03,012-001-091-006-011,012-001-091-006,11,Debate on Annual Budget Statement,,OS,
2014-03-03,012-001-091-006-012,012-001-091-006,12,Adjournment of Debate,,OS,
2014-03-03,012-001-091-006-013,012-001-091-006,13,Adjournment,,OS,
2014-03-03,012-001-091-006-014,012-001-091-006,14,Protocol for Pregnant Women Prisoners,,WANA,
2014-03-03,012-001-091-006-015,012-001-091-006,15,HDB's Orphans Scheme,,WA,
2014-03-03,012-001-091-006-016,012-001-091-006,16,Discharge from Bankruptcy,,WA,
