Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2023-10-03,014-002-095-113-001,014-002-095-113,1,Additional Steps to Detect and Prevent Money Laundering Activities,,OA,
2023-10-03,014-002-095-113-002,014-002-095-113,2,Impact of Deferring Public Transport Fare Increments,,OA,
2023-10-03,014-002-095-113-003,014-002-095-113,3,Budget Meals As a Proportion of All Meals Sold Hawker Stalls,,OA,
2023-10-03,014-002-095-113-004,014-002-095-113,4,Cases Referred to Committee Against Profiteering Per Quarter Since Reconvening in March 2022,,OA,
2023-10-03,014-002-095-113-005,014-002-095-113,5,Uptake of Progressive Wage Mark Accreditation and Its Impact on Volume of Business,,OA,
2023-10-03,014-002-095-113-006,014-002-095-113,6,"Redefining ""Basic Needs"" in Social Policies Given Need to Foster Sense of Belonging, Income Inequality Gap and Other Challenges",,OA,
2023-10-03,014-002-095-113-007,014-002-095-113,7,Update On Effectiveness Of Additional Levy On Cars Sold Between Fourth And Sixth Month Of Ownership,,OA,
2023-10-03,014-002-095-113-008,014-002-095-113,8,Use of Mr Lee Kuan Yew's Image on Local Company's Commemorative Packet Drinks,,OA,
2023-10-03,014-002-095-113-009,014-002-095-113,9,Students Referred to Authorities for Vaping in Last Five Years,,OA,
2023-10-03,014-002-095-113-010,014-002-095-113,10,Schedule and Budget Drawn Up for Scheme to Prioritise Inspection of Condition of Occupied HDB Rental Flats,,OA,
2023-10-03,014-002-095-113-011,014-002-095-113,11,Adults with Special Needs who are Financially-dependent on Retired Parents,,OA,
2023-10-03,014-002-095-113-012,014-002-095-113,12,Inpatient Hospice Patients who have Sought ElderShield Claims,,OA,
2023-10-03,014-002-095-113-013,014-002-095-113,13,Singapore's Anti-Money Laundering Regime,"Statements by Second Minister for Home Affairs, Minister of State for Trade and Industry, and Second Minister for Finance and National Development",OS,
2023-10-03,014-002-095-113-014,014-002-095-113,14,Legal Profession (Amendment) Bill,,BI,
2023-10-03,014-002-095-113-015,014-002-095-113,15,Economic Expansion Incentives (Relief from Income Tax) (Amendment) Bill,,BI,
2023-10-03,014-002-095-113-016,014-002-095-113,16,Central Provident Fund (Amendment) Bill,,BI,
2023-10-03,014-002-095-113-017,014-002-095-113,17,Income Tax (Amendment) Bill,,BP,
2023-10-03,014-002-095-113-018,014-002-095-113,18,Exempted Business,Business Motion,OS,
2023-10-03,014-002-095-113-019,014-002-095-113,19,Income Tax (Amendment) Bill,,BP,
2023-10-03,014-002-095-113-020,014-002-095-113,20,Strengthening Accessibility to Mental Healthcare,,OS,
2023-10-03,014-002-095-113-021,014-002-095-113,21,Amount of Time Granted to Migrant Workers Going Through Tripartite Alliance for Dispute Management Case to Find New Employers,,WANA,
2023-10-03,014-002-095-113-022,014-002-095-113,22,Data on Employment of Singaporeans and Permanent Residents with Disabilities,,WANA,
2023-10-03,014-002-095-113-023,014-002-095-113,23,Safeguards to Ensure Safety of Fostered Children Who are Returned to Their Original Homes,,WANA,
2023-10-03,014-002-095-113-024,014-002-095-113,24,Progress and Long-term Plan for Reducing Carbon Footprint of Singapore's Sea Ports,,WANA,
2023-10-03,014-002-095-113-025,014-002-095-113,25,Issues Related to Mobile Inpatient Care at Home Programme Such As Use of Remote Monitoring Technology and Compliance with Treatment Regime,,WANA,
2023-10-03,014-002-095-113-026,014-002-095-113,26,Use of Artificial Intelligence in Supervision of Financial Institutions,,WANA,
2023-10-03,014-002-095-113-027,014-002-095-113,27,Number of Singaporeans Aged 55 Unable to Attain Basic Retirement Sum with CPF Savings and Strategies to Enhance Retirement Adequacy,,WANA,
2023-10-03,014-002-095-113-028,014-002-095-113,28,Attract and Train More Manpower for Special Needs Care and Education Sector,,WANA,
2023-10-03,014-002-095-113-029,014-002-095-113,29,Ensuring Sale of Second-hand Power Assisted Bicycles Are in Compliance with Regulations,,WANA,
2023-10-03,014-002-095-113-030,014-002-095-113,30,Suicide and Attempted Suicide Cases Reported in Schools,,WANA,
2023-10-03,014-002-095-113-031,014-002-095-113,31,"Singapore's Stance on International Labour Organization's Discrimination (Employment and Occupation) Convention, 1958 (No 111)",,WANA,
2023-10-03,014-002-095-113-032,014-002-095-113,32,"New Car Registrations Broken Down by Private Cars, Company Cars, Private Hire Cars and So On",,WANA,
2023-10-03,014-002-095-113-033,014-002-095-113,33,Reasons for 60% Increase in Road Traffic Fatalities in First Half of 2023,,WANA,
2023-10-03,014-002-095-113-034,014-002-095-113,34,National Prevalence of Chronic Kidney Disease and Its Impact on Disease Burden on Population,,WANA,
2023-10-03,014-002-095-113-035,014-002-095-113,35,Sharing of Costs for Maintenance of HDB Car Parks Co-located with Commercial Properties and for Clearance of Renovation Debris,,WANA,
2023-10-03,014-002-095-113-036,014-002-095-113,36,Cumulative Impact of Series of Price Increases on Households and Small Businesses,,WANA,
2023-10-03,014-002-095-113-037,014-002-095-113,37,Companies Which Made False Salary Declarations in Work Pass Applications or Renewals,,WANA,
2023-10-03,014-002-095-113-038,014-002-095-113,38,Procedures for Disembarking Airline Passengers when Aircraft are Faced with Technical Problems on Tarmac,,WANA,
2023-10-03,014-002-095-113-039,014-002-095-113,39,Monitoring and Fines for Errant Contractors who Dispose of Renovation Debris and Refuse Indiscriminately,,WANA,
2023-10-03,014-002-095-113-040,014-002-095-113,40,Frequency of Government Reviews to Ensure Support Scheme Payouts Remain Adequate in Light of Inflationary Pressures,,WANA,
2023-10-03,014-002-095-113-041,014-002-095-113,41,Outreach and Design Efforts to Encourage Keeping to Lanes by Different Users on Shared-use Paths,,WANA,
2023-10-03,014-002-095-113-042,014-002-095-113,42,Effect of Removing Mid-year Examinations on Students’ Well-being,,WANA,
2023-10-03,014-002-095-113-043,014-002-095-113,43,Necessity of Not Publishing Total Assets under GIC's Management to Defend the Singapore Dollar against Speculative Attacks,,WANA,
2023-10-03,014-002-095-113-044,014-002-095-113,44,Number of Women who Suffer from Postnatal Post‐traumatic Stress Disorder,,WANA,
2023-10-03,014-002-095-113-045,014-002-095-113,45,Extension of Concessionary Migrant Domestic Worker Levy to Persons with Life-limiting Medical Conditions,,WANA,
2023-10-03,014-002-095-113-046,014-002-095-113,46,Solitary Confinement for Young Persons Staying in State-run Homes,,WANA,
2023-10-03,014-002-095-113-047,014-002-095-113,47,Impact of Recent Regional Manufacturing and Trade Slowdowns on Singapore's Economy,,WANA,
2023-10-03,014-002-095-113-048,014-002-095-113,48,Safety Precautions Adopted by Other Countries that Permit Passengers to be Ferried in Rear Deck of Lorries,,WANA,
2023-10-03,014-002-095-113-049,014-002-095-113,49,Percentage of Workers Living in Dormitories who have Mattress to Sleep On,,WANA,
2023-10-03,014-002-095-113-050,014-002-095-113,50,Proposal for Dedicated Funds to Subsidise Early Childhood Sector's Manpower Costs,,WANA,
2023-10-03,014-002-095-113-051,014-002-095-113,51,Measures to Detect Ownership of Movement of Foreign Shares to Foreigners with Securities Accounts in Singapore,,WA,
