Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-05-10,014-001-095-029-001,014-001-095-029,1,Singapore's Further Plans for COVID-19 Vaccination and Prevention of Surge in Community Cases Given New Virus Variants,,OA,
2021-05-10,014-001-095-029-002,014-001-095-029,2,Sustainability of Local Print News Industry amidst Shift Towards Digital News,,OA,
2021-05-10,014-001-095-029-003,014-001-095-029,3,Aggregate Dollar Value Dollar Value of Corruption Cases Investigated or Prosecuted in 2020,,OA,
2021-05-10,014-001-095-029-004,014-001-095-029,4,Engineering Measures to Reduce Flash Floods at Bukit Timah Canal and Ulu Pandan Canal Areas,,OA,
2021-05-10,014-001-095-029-005,014-001-095-029,5,Criteria for Inclusion of Medical Specialists into Insurer's Panel for Integrated Shield Plans,,OA,
2021-05-10,014-001-095-029-006,014-001-095-029,6,Regulations to Ensure Safety for Migrant Workers Ferried in Lorries,,OA,
2021-05-10,014-001-095-029-007,014-001-095-029,7,Implementation of Disposable Carrier Bag Charge and Impact on Lower Income Groups ,,OA,
2021-05-10,014-001-095-029-008,014-001-095-029,8,Media Coverage and Protection of Identity for Persons Undergoing Trials for Sex Crimes,,OA,
2021-05-10,014-001-095-029-009,014-001-095-029,9,Restructuring in the Local News Media,,OS,
2021-05-10,014-001-095-029-010,014-001-095-029,10,Registration of Births and Deaths Bill,,BI,
2021-05-10,014-001-095-029-011,014-001-095-029,11,Mental Capacity (Amendment) Bill,,BI,
2021-05-10,014-001-095-029-012,014-001-095-029,12,COVID-19 (Temporary Measures) (Amendment No 3) Bill,,BI,
2021-05-10,014-001-095-029-013,014-001-095-029,13,Significant Infrastructure Government Loan Bill,,BP,
2021-05-10,014-001-095-029-014,014-001-095-029,14,Exempted Business,,OS,
2021-05-10,014-001-095-029-015,014-001-095-029,15,Significant Infrastructure Government Loan Bill,,BP,
2021-05-10,014-001-095-029-016,014-001-095-029,16,Time Limit for Deputy Prime Minister's Speech,Suspension of Standing Orders,OS,
2021-05-10,014-001-095-029-017,014-001-095-029,17,Significant Infrastructure Government Loan Bill,,BP,
2021-05-10,014-001-095-029-018,014-001-095-029,18,Land Betterment Charge Bill,,BP,
2021-05-10,014-001-095-029-019,014-001-095-029,19,Adjournment,,OS,
2021-05-10,014-001-095-029-020,014-001-095-029,20,Ensuring Patients' Interest in Healthcare,,OS,
2021-05-10,014-001-095-029-021,014-001-095-029,21,Delaying or Cancelling School Mergers to Evaluate Effectiveness of Smaller Class Size,,WANA,
2021-05-10,014-001-095-029-022,014-001-095-029,22,Teaching of Malay and Tamil Languages at Pre-schools,,WANA,
2021-05-10,014-001-095-029-023,014-001-095-029,23,Passport Renewal Requests During COVID-19 Pandemic,,WANA,
2021-05-10,014-001-095-029-024,014-001-095-029,24,Getting More Companies to Adopt Tripartite Standards on Implementing Fair and Progressive Workplace Practices,,WANA,
2021-05-10,014-001-095-029-025,014-001-095-029,25,Wrongful Dismissal Involving Employees who were Pregnant at Time of Dismissal,,WANA,
2021-05-10,014-001-095-029-026,014-001-095-029,26,Rise in Property Prices Over Past 12 Months,,WANA,
2021-05-10,014-001-095-029-027,014-001-095-029,27,Extension of Working Mother Child Relief to Unmarried Working Mothers,,WANA,
2021-05-10,014-001-095-029-028,014-001-095-029,28,Better Protection and CPF Contributions of Gig and Platform Economy Workers,,WANA,
2021-05-10,014-001-095-029-029,014-001-095-029,29,"Plans to Promote Homegrown Innovation under Research, Innovation and Enterprise Plan 2025",,WANA,
2021-05-10,014-001-095-029-030,014-001-095-029,30,New Courses at Institutes of Higher Learning to Support Green Economy,,WANA,
2021-05-10,014-001-095-029-031,014-001-095-029,31,Rationale for Excluding Heavy Goods Vehicles and Very Heavy Goods Vehicles from Commercial Vehicle Emissions Scheme,,WANA,
2021-05-10,014-001-095-029-032,014-001-095-029,32,Measures to Ensure Accurate Disbursement of Funds for Support Schemes,,WANA,
2021-05-10,014-001-095-029-033,014-001-095-029,33,Reasons for Wrongful $370 million Jobs Support Scheme Payouts,,WANA,
2021-05-10,014-001-095-029-034,014-001-095-029,34,Recovery of Erroneous $370 million Jobs Support Scheme Payouts,,WANA,
