Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2020-10-05,President's Address,014-001-095-007-001,Mr Speaker,  Order. I have to inform hon Members that I have on 7 September 2020 communicated to the President the Address of Thanks agreed to by resolution of this Parliament on 4 September 2020.,1,1,014-001-095-007-001-001,1
2020-10-05,Timeline for Universities and Schools to Return to Normalised Face-to-face Classes,014-001-095-007-002,Ms Foo Mee Har,asked the Minister for Education whether the Ministry will consider allowing Universities and schools to return to more normalised face-to-face activities and classes when TraceTogether tokens are in widespread use with safe distancing measures in place.,1,1,014-001-095-007-002-001,2
2020-10-05,Timeline for Universities and Schools to Return to Normalised Face-to-face Classes,014-001-095-007-002,The Minister for Education (Mr Lawrence Wong),"  Mr Speaker, students from all levels have resumed daily lessons in our schools. Lower-risk co-curricular activities or CCAs and other activities have also resumed. Likewise, the Institutes of Higher Learning or IHLs have gradually increased the number of students allowed back on campus for practicums, laboratory sessions and other classes. They are progressively allowing selected non-timetabled activities to return to campus, including project discussions and some student activities.",1,2,014-001-095-007-002-002,3
2020-10-05,Timeline for Universities and Schools to Return to Normalised Face-to-face Classes,014-001-095-007-002,The Minister for Education (Mr Lawrence Wong),"We now have effective Safe Management Measures in place in our schools and IHLs, coupled with a system of rapid contact tracing. We have also improved capabilities to detect community cases quickly through our expanded testing regime and are exploring the monitoring of wastewater in student hostels.",2,3,014-001-095-007-002-003,4
2020-10-05,Timeline for Universities and Schools to Return to Normalised Face-to-face Classes,014-001-095-007-002,The Minister for Education (Mr Lawrence Wong),"With these conditions in place, we are now studying ways to resume more in-person activities safely in our schools and IHLs, as the Member has suggested. These activities, together with the resumption of a wider range of CCAs and other activities, are important because we must strive to provide our students with a holistic educational experience, while keeping risks to a manageable level. MOE is working through the details and will share more in due course.",3,4,014-001-095-007-002-004,5
2020-10-05,Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker,014-001-095-007-003,Ms Jessica Tan Soon Neo,"asked the Minister for Health with the low number of community cases for COVID-19, what can be expected on further easing of measures for Singapore and when can this be done.",1,1,014-001-095-007-003-001,6
2020-10-05,Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker,014-001-095-007-003,Mr Chua Kheng Wee Louis,asked the Minister for Health whether the Government has completed its review of work-from-home arrangements and where does Singapore stand in the Government's risk assessment in determining when to move into Phase 3 of Singapore's re-opening.,1,2,014-001-095-007-003-002,7
2020-10-05,Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker,014-001-095-007-003,The Minister for Health (Mr Gan Kim Yong),"  Mr Speaker, may I take Question Nos 2 and 3 together?",1,3,014-001-095-007-003-003,8
2020-10-05,Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker,014-001-095-007-003,Mr Speaker,"  Yes, please.",1,4,014-001-095-007-003-004,9
2020-10-05,Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker,014-001-095-007-003,Mr Gan Kim Yong,"  Thank you. Sir, when Singapore exited the circuit breaker period in June 2020, the Multi-Ministry Task Force or MTF set out a Three-phase Plan to resume economic and social activities. Since then, we have progressed from Phase One to Phase Two.",1,5,014-001-095-007-003-005,10
