Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,Mr Yip Hon Weng,"asked the Deputy Prime Minister and Minister for Finance with the revision of Annual Values (AV) of most residential properties in 2023 (a) what are the communication plans to seniors that social support schemes will not be affected by this revision, as AVs as of 2022 will be used to determine scheme eligibility in 2023; and (b) what are the plans for scheme eligibility for 2024.",1,1,014-001-095-090-001-001,1
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,The Senior Minister of State for Finance (Mr Chee Hong Tat) (for the Deputy Prime Minister and Minister for Finance),"  Mr Speaker, MOF had earlier issued a media statement to explain that the criteria for the Government’s social support schemes in 2023 will not be affected by the latest Annual Values (AVs) revision, as the AVs as of 2022 are used to determine scheme eligibility. We are also working with the Silver Generation Office (SGO) to engage seniors and provide them this assurance.",1,2,014-001-095-090-001-002,2
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,The Senior Minister of State for Finance (Mr Chee Hong Tat) (for the Deputy Prime Minister and Minister for Finance),"For many of our social support schemes, no application is required and Singaporeans receive the support automatically as long as they are eligible. These include the cash payments and MediSave top-ups under the GST Voucher scheme and the Assurance Package.",2,3,014-001-095-090-001-003,3
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,The Senior Minister of State for Finance (Mr Chee Hong Tat) (for the Deputy Prime Minister and Minister for Finance),"The Government regularly reviews our social support schemes, including the AV thresholds, to ensure that Singaporeans in need of support receive it.",3,4,014-001-095-090-001-004,4
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,Mr Speaker,  Mr Yip.,1,5,014-001-095-090-001-005,5
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,Mr Yip Hon Weng (Yio Chu Kang),"  I thank the Senior Minister of State for his response. Just two supplementary questions. How will the Government monitor and encourage seniors who are eligible in 2023 to continue to apply for social support that needs application, as some may not know? And two, how much lead time will the Government give to let seniors and their families know the scheme eligibility in 2024?",1,6,014-001-095-090-001-006,6
2023-03-02,Annual Values as of 2022 Used to Determine Eligibility for Social Support Schemes in 2023,014-001-095-090-001,Mr Chee Hong Tat,"  Sir, these are ongoing engagements and communications with our seniors. Part of it, we will go through the Silver Generation Office. The face-to-face interactions between our Silver Generation Ambassadors and the seniors would be helpful, to explain to them some of these schemes and what they are eligible for. We also rely on other means of communications, including the mass media.",1,7,014-001-095-090-001-007,7
2023-03-02,Disbursements for National Productivity Fund,014-001-095-090-002,Mr Leon Perera,asked the Minister for Trade and Industry (a) what is the pattern of funding from the National Productivity Fund (NPF) by industry in the past five years; (b) whether the NPF uses research to benchmark Singapore's productivity according to sectors with other developed countries and when deciding how much to fund each sector; and (c) whether NPF is also funding initiatives undertaken by trade associations and business chambers in addition to Government agencies.,1,1,014-001-095-090-002-001,8
2023-03-02,Disbursements for National Productivity Fund,014-001-095-090-002,The Minister of State for Trade and Industry (Ms Low Yen Ling) (for the Minister for Trade and Industry),"  Mr Speaker, Sir, over the past five years, the National Productivity Fund (NPF) has disbursed over $1 billion across 47 projects relating to productivity improvements and continuing education and training (CET). About half was spent on productivity improvement projects and the other half was spent on CET programmes.",1,2,014-001-095-090-002-002,9
2023-03-02,Disbursements for National Productivity Fund,014-001-095-090-002,The Minister of State for Trade and Industry (Ms Low Yen Ling) (for the Minister for Trade and Industry),"Some of the larger projects funded by the NPF include sector-specific schemes like the Construction Productivity and Capability Fund, as well as schemes that support enterprise and workforce transformation like the Inclusive Growth Programme and the SkillsFuture Enterprise Credit scheme. Projects supported by NPF complement our wider range of schemes and projects in driving productivity improvements.",2,3,014-001-095-090-002-003,10
