Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2022-07-04,014-001-095-063-001,014-001-095-063,1,Point of Order,,OS,
2022-07-04,014-001-095-063-002,014-001-095-063,2,Decision for Government to Take Over Ownership and Management of Singapore Sports Hub,,OA,
2022-07-04,014-001-095-063-003,014-001-095-063,3,Singapore's Economic Outlook Given Rising Inflation and Government's Plans to Assist Businesses and Singaporeans,,OA,
2022-07-04,014-001-095-063-004,014-001-095-063,4,Impact of Rising Inflation on Planned GST Increase and Related Financial Offset Measures,,OA,
2022-07-04,014-001-095-063-005,014-001-095-063,5,"Impact of Export Curbs on Supply of Key Food Items to Singapore and on Singapore's ""30 by 30"" Food Production Goal",,OA,
2022-07-04,014-001-095-063-006,014-001-095-063,6,Reasons for Not Disclosing Racial Composition of Prison Inmate Population and Criminal Offender Figures,,OA,
2022-07-04,014-001-095-063-007,014-001-095-063,7,Clarification by Senior Minister of State for Manpower and Sustainability and the Environment,Seeking clarification on speech by Member,OS,
2022-07-04,014-001-095-063-008,014-001-095-063,8,Prison Conditions and Rehabilitation,Statement by Minister for Home Affairs,OS,
2022-07-04,014-001-095-063-009,014-001-095-063,9,Singapore Armed Forces and Other Matters Bill,,BI,
2022-07-04,014-001-095-063-010,014-001-095-063,10,Constitution of the Republic of Singapore (Amendment No 2) Bill,,BI,
2022-07-04,014-001-095-063-011,014-001-095-063,11,Public Defenders Bill,,BI,
2022-07-04,014-001-095-063-012,014-001-095-063,12,Endangered Species (Import and Export) (Amendment) Bill,,BP,
2022-07-04,014-001-095-063-013,014-001-095-063,13,Adjournment,,OS,
2022-07-04,014-001-095-063-014,014-001-095-063,14,Ensuring Equitable Outcomes in Housing Redevelopment,,OS,
2022-07-04,014-001-095-063-015,014-001-095-063,15,Cases of Renovation Contractors Failing to Carry Out Works after Collecting Deposits,,WANA,
2022-07-04,014-001-095-063-016,014-001-095-063,16,Risk Factors of Transmission and Being Infected by Monkeypox Virus,,WANA,
2022-07-04,014-001-095-063-017,014-001-095-063,17,Reasons and Countermeasures for Recent Rise in Workplace Incidents,,WANA,
2022-07-04,014-001-095-063-018,014-001-095-063,18,"Impact of US' Proposal to Put Natural Gas Industry ""On Notice"" on Singapore's Supply of Natural Gas",,WANA,
2022-07-04,014-001-095-063-019,014-001-095-063,19,Impact of Malaysia’s Renewable Energy Exports Ban on Singapore's Energy Security Strategies,,WANA,
2022-07-04,014-001-095-063-020,014-001-095-063,20,Measures to Prevent Disruption to Singapore’s Electricity Supply Given Global Energy Crunch,,WANA,
2022-07-04,014-001-095-063-021,014-001-095-063,21,Key Takeaways from Recent Shangri-La Dialogue Regarding Geopolitical Dynamics and Maintenance of Peaceful Relations in Asia,,WANA,
2022-07-04,014-001-095-063-022,014-001-095-063,22,Reasons for Recent Spate of Fires at Residential Dwelling and Measures to Proactively Deal With Fire Hazards,,WANA,
2022-07-04,014-001-095-063-023,014-001-095-063,23,Rent Control Measures on Coffee Shop Stalls in HDB Estates to Prevent Transfer of Cost Increases to Consumers,,WANA,
2022-07-04,014-001-095-063-024,014-001-095-063,24,Monitoring of Long COVID and Post-COVID-19 Health Issues Experienced by Patients,,WANA,
2022-07-04,014-001-095-063-025,014-001-095-063,25,Measures to Deal With Consecutive Increases in HDB Resale Flat Prices,,WANA,
2022-07-04,014-001-095-063-026,014-001-095-063,26,Plans to Permanently Implement Flexible Work Arrangements for Public Sector,,WANA,
2022-07-04,014-001-095-063-027,014-001-095-063,27,Number of Aedes Mosquitoes Breeding Sites Found at Construction Sites and Stop Work Orders Issued over Past Two Years,,WANA,
2022-07-04,014-001-095-063-028,014-001-095-063,28,Number of Childcare and Infant Care Spaces with Existing Capacity but Face Shortage of Teachers,,WANA,
2022-07-04,014-001-095-063-029,014-001-095-063,29,Annual Preschool Enrolment of Children Aged Three as a Percentage of Each Cohort Size and Socio-economic Background in Last Five Years,,WANA,
2022-07-04,014-001-095-063-030,014-001-095-063,30,Proposal for National Cancer Care Appeals Board to Consider Appeals from Doctors of Patients with Complex Cancers on Non-standard Therapies,,WANA,
2022-07-04,014-001-095-063-031,014-001-095-063,31,Proposal to Change Lease Term of Replacement Flats under Selective En-bloc Redevelopment Scheme to Increase Affordability for Some Residents,,WANA,
2022-07-04,014-001-095-063-032,014-001-095-063,32,Assistance for Residents Facing Difficulty Financing Replacement Flats Offered under Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-033,014-001-095-063,33,Difference in Calculation for Compensation for HDB Flats Acquired under Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-034,014-001-095-063,34,Flexible Leases and Payment Methods for Replacement Flats Offered under Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-035,014-001-095-063,35,Wider Range of Accommodation Options for Residents Affected by Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-036,014-001-095-063,36,Average and Range of Increase in Development Intensity for Sites Acquired under Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-037,014-001-095-063,37,Flexible Lease Options for Replacement Flats Offered to Older Residents under Selective En-bloc Redevelopment Scheme,,WANA,
2022-07-04,014-001-095-063-038,014-001-095-063,38,Use of Seat Belts and Other Measures for Safety of Personnel Seated at Back of SAF Tonners,,WANA,
2022-07-04,014-001-095-063-039,014-001-095-063,39,Hiring of More Staff to Reduce Administrative Workload of Teachers and in Planning of Events,,WANA,
2022-07-04,014-001-095-063-040,014-001-095-063,40,Bus and Train Ridership Numbers Since Relaxation of Workplace and Safe Management Measures,,WANA,
2022-07-04,014-001-095-063-041,014-001-095-063,41,Flexibility of Primary and Secondary Schools to Stagger Start and End Times of Different Cohorts,,WANA,
2022-07-04,014-001-095-063-042,014-001-095-063,42,Special Select Committee to Review University Cohort Participation Rate and Adult Education,,WANA,
2022-07-04,014-001-095-063-043,014-001-095-063,43,Average Waiting Time for Singaporeans who Applied for International Passports and Measures to Alleviate Queues,,WANA,
2022-07-04,014-001-095-063-044,014-001-095-063,44,Insights on Anonymised Data of Community Development Council Digital Voucher Usage for Targeted Support to Lower-income Households,,WANA,
2022-07-04,014-001-095-063-045,014-001-095-063,45,Inclusion of SEA Games Silver and Bronze Medallists in Major Games Award Programme,,WANA,
2022-07-04,014-001-095-063-046,014-001-095-063,46,Speeding Up Process of Getting Rental Housing Ready to Meet Demand More Quickly,,WANA,
2022-07-04,014-001-095-063-047,014-001-095-063,47,Number of Requests and Average Waiting Time for Interim Rental Housing and Parenthood Provisional Housing Scheme Units,,WANA,
2022-07-04,014-001-095-063-048,014-001-095-063,48,Interim Rental Fee Subsidy for Families in Financial Hardship who have to Rent Accommodation in Open Market,,WANA,
2022-07-04,014-001-095-063-049,014-001-095-063,49,Spit Guards Instead of Masks for Hawkers and Food and Beverage Handlers Working at Stalls at Coffee Shops and Hawker Centres,,WANA,
2022-07-04,014-001-095-063-050,014-001-095-063,50,Littering Offences in First Half of 2022,,WANA,
2022-07-04,014-001-095-063-051,014-001-095-063,51,Annual Amount Disbursed from One-off Baby Support Grant and Proposal for Further Support Given Rising Cost of Living,,WANA,
2022-07-04,014-001-095-063-052,014-001-095-063,52,Inclusion of Headcount as Criterion in Determining Support for Large Families Residing in Private Estate Homes,,WANA,
2022-07-04,014-001-095-063-053,014-001-095-063,53,Inclusion of More Singapore Institutes of Higher Learning in UK's High Potential Individual Visa Scheme,,WANA,
2022-07-04,014-001-095-063-054,014-001-095-063,54,Steps to Protect Singapore's Critical Infrastructure from Malware Threat,,WANA,
2022-07-04,014-001-095-063-055,014-001-095-063,55,Avenues of Recourse when Social Media Organisations Do Not Comply with Government's Directions,,WANA,
2022-07-04,014-001-095-063-056,014-001-095-063,56,Number and Percentage of Doctors Resigning from Public Hospitals Within Their Bond Periods in Past Five Years,,WANA,
2022-07-04,014-001-095-063-057,014-001-095-063,57,Average Duration to Investigate Scam-related Case and Resolution and Release of Bank Accounts Frozen and Proportion of Funds Lost Recovered,,WANA,
2022-07-04,014-001-095-063-058,014-001-095-063,58,Number of People Who Have Renounced Permanent Resident Status in Singapore over Last Three Years,,WANA,
2022-07-04,014-001-095-063-059,014-001-095-063,59,Consequence of Raising Minimum Salary Requirements for Work Passes and Preventive Measures in Place,,WANA,
2022-07-04,014-001-095-063-060,014-001-095-063,60,Employees Trained as Mental Health First Responders,,WANA,
2022-07-04,014-001-095-063-061,014-001-095-063,61,Number of Work Injury Claims under Work Injury Compensation Act,,WANA,
2022-07-04,014-001-095-063-062,014-001-095-063,62,Consolidation in Tech Sector and Impact on Singaporeans' Tech Jobs,,WANA,
2022-07-04,014-001-095-063-063,014-001-095-063,63,Monitoring of Bulk Purchases of Private Property by Non-Singaporeans,,WANA,
2022-07-04,014-001-095-063-064,014-001-095-063,64,Support from HDB to Ensure Every Town Council is Served by Managing Agent,,WANA,
2022-07-04,014-001-095-063-065,014-001-095-063,65,Current and Future Efforts in Pulau Ubin Conservation Project,,WANA,
2022-07-04,014-001-095-063-066,014-001-095-063,66,Proposal for Mandatory Counselling for Singaporean Men who Intend to Marry Foreigners,,WANA,
2022-07-04,014-001-095-063-067,014-001-095-063,67,Average Waiting Times for Various Assessments of Special Needs Children,,WANA,
2022-07-04,014-001-095-063-068,014-001-095-063,68,Impact of ComCare Short-to-Medium-Term Assistance Revisions on Number of Families Receiving Help and Proposal for Simplified Process in Determining Assistance Amount,,WANA,
2022-07-04,014-001-095-063-069,014-001-095-063,69,Approach to Concept of Personalised Health Diagnostics and Precision Treatment for Better Outcomes,,WANA,
2022-07-04,014-001-095-063-070,014-001-095-063,70,Common Reasons for Rejecting Admission Requests at Restructured Hospitals,,WANA,
2022-07-04,014-001-095-063-071,014-001-095-063,71,Update on Haj Places and Concessions for Singaporean Pilgrims,,WANA,
2022-07-04,014-001-095-063-072,014-001-095-063,72,Update on MUIS' Investigation into Australian Abattoir's Products for Compliance with Halal Certification Requirements,,WANA,
2022-07-04,014-001-095-063-073,014-001-095-063,73,Outcome of MUIS-directed Review of Financial Transactions between Madrasah Irsyad Zuhri Al-Islamiah and Irsyad Trust Limited,,WANA,
2022-07-04,014-001-095-063-074,014-001-095-063,74,Take-up Rates among Smaller businesses and Building Owners for Energy Efficiency Fund and Green Mark Incentives Compared with Larger Businesses,,WANA,
2022-07-04,014-001-095-063-075,014-001-095-063,75,Appeal to Delay Introduction of Sea Space Leases to Give Smaller Fish Farms Time to Review Business Models,,WANA,
2022-07-04,014-001-095-063-076,014-001-095-063,76,Proposal to Regulate Practices to Encourage Bulk Buying ahead of GST Rate Increase,,WANA,
2022-07-04,014-001-095-063-077,014-001-095-063,77,Investigation into Individual who Allegedly Promulgated Deviant Teachings,Probe due to MUIS' Police report,WANA,
2022-07-04,014-001-095-063-078,014-001-095-063,78,Update on Completion and Commencement of Operations for Phase 3 of Thomson East Coast Line and Johor Bahru-Singapore Rapid Transit Link,,WANA,
2022-07-04,014-001-095-063-079,014-001-095-063,79,Plans for Better Transportation Access for Seniors Living in Private Estates,,WANA,
2022-07-04,014-001-095-063-080,014-001-095-063,80,Steps to Enhance Anti-corruption Education Especially among Singaporean Youths,,WANA,
2022-07-04,014-001-095-063-081,014-001-095-063,81,Completion of Review of Use of SMS and Clickable Links for Government Agencies by Smart Nation Digital Government Group,,WA,
2022-07-04,014-001-095-063-082,014-001-095-063,82,Implementation of Further Restrictions on Cryptocurrency Trading Platforms to Protect Members of Public,,WA,
2022-07-04,014-001-095-063-083,014-001-095-063,83,Incentives or Regulations to Promote and Achieve Basic Competency Standards in Green Financing Amongst Financial Institutions,,WA,
2022-07-04,014-001-095-063-084,014-001-095-063,84,"Number of Family Offices Registered in Singapore, Aggregate Business Spending, Amount of Assets under Management and Invested Locally in Last Five Years and Year-to-date",,WA,
2022-07-04,014-001-095-063-085,014-001-095-063,85,Number of Households with GST Voucher-U-Save Net Balances of More Than $20 by HDB Flat Type,,WA,
2022-07-04,014-001-095-063-086,014-001-095-063,86,Reinstatement Requests Received from Those Renouncing Singapore Citizenship from 2012 to 2021,,WA,
2022-07-04,014-001-095-063-087,014-001-095-063,87,Operation Date of Foreign Interference (Countermeasures) Act 2021,,WA,
2022-07-04,014-001-095-063-088,014-001-095-063,88,Efforts to Speed Up Processing of Increased Passport Applications in Past Few Months,,WA,
2022-07-04,014-001-095-063-089,014-001-095-063,89,Main Causes of Fires in HDB Flats Resulting in Fatalities Over Last Five Years and Plans for Specific Fire-safety Campaign for Flat Dwellers,,WA,
2022-07-04,014-001-095-063-090,014-001-095-063,90,"Statistics on Renunciation and Reinstatement of Singapore Citizenship, Success Rate and Reasons for Rejection in Last 10 Years",,WA,
2022-07-04,014-001-095-063-091,014-001-095-063,91,Outcome of Cases of Disputed Rental Waiver under COVID-19 (Temporary Measures) Act 2020 Rental Waiver Framework,,WA,
