Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-07-26,014-001-095-033-001,014-001-095-033,1,Adjustments to Current COVID-19 Measures and Easing into Endemic Stage,,OA,
2021-07-26,014-001-095-033-002,014-001-095-033,2,Curbing Scam Calls Made From +65 Prefix Phone Numbers,,OA,
2021-07-26,014-001-095-033-003,014-001-095-033,3,Help for Individuals Affected by Bank-related Cyber Scams or Unauthorised Bank Transactions,,OA,
2021-07-26,014-001-095-033-004,014-001-095-033,4,Accidents Involving Public Buses and Probe into Recent Accident at Bukit Batok Bus Interchange,,OA,
2021-07-26,014-001-095-033-005,014-001-095-033,5,Refresher Road Safety Training for Drivers of Heavy Vehicles and Buses,,OA,
2021-07-26,014-001-095-033-006,014-001-095-033,6,COVID-19 Impact on Construction Costs and Estate Upgrading and Greening Plans,,OA,
2021-07-26,014-001-095-033-007,014-001-095-033,7,HDB Resale Flat Price and Cash-over-valuation Trends in Past Year and Support for Families Opting for Resale Flats due to Construction Delays for BTO Flats ,,OA,
2021-07-26,014-001-095-033-008,014-001-095-033,8, Increasing Supply for BTO Flats over Next Three Years to Make Up for COVID-19 Construction Delays,,OA,
2021-07-26,014-001-095-033-009,014-001-095-033,9,Increasing Offering of Non-Chinese Official Languages at Preschools in Sengkang,,OA,
2021-07-26,014-001-095-033-010,014-001-095-033,10,Attempts to Attack Singapore's Supply Chain Software,,OA,
2021-07-26,014-001-095-033-011,014-001-095-033,11,Measures to Transit COVID-19-related Short-term Contract Workers into Permanent Jobs,,OA,
2021-07-26,014-001-095-033-012,014-001-095-033,12,Enhanced Curriculum Structure for Higher Nitec Certification and Help for Students who may Struggle,,OA,
2021-07-26,014-001-095-033-013,014-001-095-033,13,Tracking of Mental Health and Stress Levels of Students with Rollout of Subject-Based Banding,,OA,
2021-07-26,014-001-095-033-014,014-001-095-033,14,Impact of COVID-19 Border Restrictions on Entry of Migrant Domestic Workers into Singapore,,OA,
2021-07-26,014-001-095-033-015,014-001-095-033,15,Fifth Update on Whole-of-Government Responses to COVID-19,"Statements by Minister for Health, Minister for Trade and Industry and Minister for Finance",OS,
2021-07-26,014-001-095-033-016,014-001-095-033,16,Support Measures for Phase Two (Heightened Alert),Statement by Minister for Finance,OS,
2021-07-26,014-001-095-033-017,014-001-095-033,17,Courts (Civil and Criminal Justice) Reform Bill,,BI,
2021-07-26,014-001-095-033-018,014-001-095-033,18,Supplementary Supply and Budget Adjustments (FY 2021) Bill,,BI,
2021-07-26,014-001-095-033-019,014-001-095-033,19,Adjournment,,OS,
2021-07-26,014-001-095-033-020,014-001-095-033,20,Strengthening the Singaporean Core,,OS,
2021-07-26,014-001-095-033-021,014-001-095-033,21,Rising Prices of Vegetables and Fresh Produce Imported from Malaysia,,WANA,
2021-07-26,014-001-095-033-022,014-001-095-033,22,Common Causes of Home Fires in Past Five Years,,WANA,
2021-07-26,014-001-095-033-023,014-001-095-033,23,Design of Common Areas in Residential Areas to Promote Greater Social Interaction,,WANA,
2021-07-26,014-001-095-033-024,014-001-095-033,24,Shortage or Surplus of Social Workers,,WANA,
2021-07-26,014-001-095-033-025,014-001-095-033,25,"Utilisation Rates and Profile of Residents at Safe, Sound Sleeping Places",,WANA,
2021-07-26,014-001-095-033-026,014-001-095-033,26,Single Unwed Parents Who Apply for Interim Housing while Awaiting Completion of New Flats,,WANA,
2021-07-26,014-001-095-033-027,014-001-095-033,27,Proposal to Ban Use of Styrofoam Packaging for Food Takeaways,,WANA,
2021-07-26,014-001-095-033-028,014-001-095-033,28,Regulation of Micro-investment Products,,WANA,
2021-07-26,014-001-095-033-029,014-001-095-033,29,Applications for Digital Token Service Provider Licence,,WANA,
2021-07-26,014-001-095-033-030,014-001-095-033,30,Proposal for CPF Contributions to be Paid when Foreign Spouses of Singaporeans Work,,WANA,
2021-07-26,014-001-095-033-031,014-001-095-033,31,Update on Introduction and Rollout of EV Common Charger Grant,,WANA,
2021-07-26,014-001-095-033-032,014-001-095-033,32,Impact of En Bloc Sales on Environmental Damage and Rise in Housing Prices,,WANA,
2021-07-26,014-001-095-033-033,014-001-095-033,33,Number and Profile of Commuters with Issued Public Transport Concessions Cards,,WANA,
2021-07-26,014-001-095-033-034,014-001-095-033,34,"Reasons for Unsuccessful Six-month Trial of On-demand Public Buses in Joo Koon, Marina-Downtown and Central Business District to Bedok/Tampines",,WANA,
2021-07-26,014-001-095-033-035,014-001-095-033,35,Proposal for Limited Trial of Four-day Work Week in Singapore,,WANA,
2021-07-26,014-001-095-033-036,014-001-095-033,36,Measures to Limit Human Traffic to Core and Sensitive Nature Areas,,WANA,
2021-07-26,014-001-095-033-037,014-001-095-033,37,Proposal to Designate Areas around Southern Islands as Protected Zones,,WANA,
2021-07-26,014-001-095-033-038,014-001-095-033,38,Expanding Sentencing Options for Wildlife Feeding Offence to Include Mandatory Treatment Order and Community Work Order,,WANA,
2021-07-26,014-001-095-033-039,014-001-095-033,39,Encourage Utilisation and Expansion of Elderly Befriender Services to Reduce Elderly Suicide Rates,,WANA,
2021-07-26,014-001-095-033-040,014-001-095-033,40,Number of Smoking-related Enforcements Meted Out,,WANA,
2021-07-26,014-001-095-033-041,014-001-095-033,41,Data on HDB Flat Transactions Affected by Ethnic Integration Policy and Help for Flat Sellers or Buyers Impacted by Policy,,WANA,
2021-07-26,014-001-095-033-042,014-001-095-033,42,Rationale for National Service-component in Starting Salaries of Public Service Employees,,WANA,
2021-07-26,014-001-095-033-043,014-001-095-033,43,Number of Singaporean Students Admitted for Computer Science Degrees at Local Universities and Sufficiency of Such Numbers,,WANA,
